movie,year,imdb_ratings,metacritic,runtime,votes,genres,us_gross
Straight Outta Compton,2015,7.9,72,147,171717,"Biography, Drama, History",$161.20M
Blow,2001,7.6,52,124,231402,"Biography, Crime, Drama",$52.99M
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,146,447519,"Adventure, Family, Fantasy",$295.98M
X-Men: First Class,2011,7.7,65,131,627520,"Action, Adventure, Sci-Fi",$146.41M
Come and See,1985,8.3,-,142,48599,"Drama, War",-
A Few Good Men,1992,7.7,62,138,222981,"Drama, Thriller",$141.34M
Serpico,1973,7.7,87,130,102192,"Biography, Crime, Drama",$29.80M
The Lives of Others,2006,8.4,89,137,338968,"Drama, Mystery, Thriller",$11.29M
Magnolia,1999,8.0,77,188,278601,Drama,$22.46M
Argo,2012,7.7,86,120,552449,"Biography, Drama, Thriller",$136.03M
Close Encounters of the Third Kind,1977,7.6,90,138,174723,"Drama, Sci-Fi",$132.09M
Aladdin,1992,8.0,86,90,349585,"Animation, Adventure, Comedy",$217.35M
Captain America: The Winter Soldier,2014,7.7,70,136,701249,"Action, Adventure, Sci-Fi",$259.77M
Howl's Moving Castle,2004,8.2,80,119,298960,"Animation, Adventure, Family",$4.71M
Casablanca,1942,8.5,100,102,496309,"Drama, Romance, War",$1.02M
Brokeback Mountain,2005,7.7,87,134,310163,"Drama, Romance",$83.04M
Amélie,2001,8.3,69,122,675519,"Comedy, Romance",$33.23M
Shrek,2001,7.8,84,90,586934,"Animation, Adventure, Comedy",$267.67M
The Help,2011,8.1,62,146,406953,Drama,$169.71M
Platoon,1986,8.1,92,120,364920,"Drama, War",$138.53M
The Wizard of Oz,1939,8.0,100,102,361289,"Adventure, Family, Fantasy",$2.08M
Manchester by the Sea,2016,7.8,96,137,229199,Drama,$47.70M
Predator,1987,7.8,45,107,357176,"Action, Adventure, Sci-Fi",$59.74M
Finding Nemo,2003,8.1,90,100,906144,"Animation, Adventure, Comedy",$380.84M
E.T. the Extra-Terrestrial,1982,7.8,91,115,352767,"Family, Sci-Fi",$435.11M
WALL·E,2008,8.4,95,98,949631,"Animation, Adventure, Family",$223.81M
Trainspotting,1996,8.1,83,93,610573,Drama,$16.50M
The Curious Case of Benjamin Button,2008,7.8,70,166,560128,"Drama, Fantasy, Romance",$127.51M
Dead Poets Society,1989,8.1,79,128,394407,"Comedy, Drama",$95.86M
Rear Window,1954,8.4,100,112,418796,"Mystery, Thriller",$36.76M
L.A. Confidential,1997,8.2,90,138,510192,"Crime, Drama, Mystery",$64.62M
Hell or High Water,2016,7.6,88,102,189596,"Action, Crime, Drama",$26.86M
The Fighter,2010,7.8,79,116,326838,"Biography, Drama, Sport",$93.62M
The Crow,1994,7.6,71,102,160359,"Action, Drama, Fantasy",$50.69M
Gone with the Wind,1939,8.1,97,238,274758,"Drama, History, Romance",$198.68M
Home Alone,1990,7.6,63,103,441808,"Comedy, Family",$285.76M
The Boondock Saints,1999,7.8,44,108,221704,"Action, Crime, Thriller",$0.03M
Stardust,2007,7.6,66,127,245316,"Adventure, Family, Fantasy",$38.63M
The Hobbit: The Desolation of Smaug,2013,7.8,66,161,581479,"Adventure, Fantasy",$258.37M
The Deer Hunter,1978,8.1,86,183,296105,"Drama, War",$48.98M
District 9,2009,7.9,81,112,620539,"Action, Sci-Fi, Thriller",$115.65M
Edward Scissorhands,1990,7.9,74,105,428702,"Drama, Fantasy, Romance",$56.36M
Wind River,2017,7.7,73,107,185809,"Crime, Drama, Mystery",$33.80M
Casino,1995,8.2,73,178,437087,"Crime, Drama",$42.44M
Dallas Buyers Club,2013,8.0,84,117,418781,"Biography, Drama",$27.30M
Walk the Line,2005,7.8,72,136,224468,"Biography, Drama, Music",$119.52M
The King's Speech,2010,8.0,88,118,614976,"Biography, Drama, History",$138.80M
Klaus,2019,8.2,65,96,61569,"Animation, Adventure, Comedy",-
Crash,2004,7.8,69,112,409134,"Crime, Drama, Thriller",$54.58M
